,Description,Homepage,License,GNU?
"0 A.D.","Real-time strategy game of ancient warfare",http://play0ad.com/,"PublicDomain,Other,License:GPLv2orlater,License:Expat,License:LGPLv2.1orlater,License:Creative Commons Attribution Share-Alike 2.5",
123sqlengine,"123sqlengine is a functional relational database engine",https://sourceforge.net/projects/sql123engine/,License:GPLv2orlater,
"2532 Gigs","A PHP/SQL gig lister.",http://www.sourceforge.net/projects/gigs-2532,License:SimplePermissive,
2wm,"a dynamic window manager for X.",https://web.archive.org/web/20150924100340/http://git.suckless.org/2wm,License:Expat,
389-admin,"389 Directory Administration Server",http://directory.fedoraproject.org,"Other,License:GPLv2",
389-admin-console,"389 admin server management console",http://directory.fedoraproject.org,License:GPLv2,
389-adminutil,"Utility library for 389ds administration",http://directory.fedoraproject.org,Other,
389-console,"389 Management Console",http://directory.fedoraproject.org,"License:GPLv2orlater,License:LGPLv2",
389-ds-base,"389 Directory Server suite - server",http://directory.fedoraproject.org,"Other,License:GPLv2orlater",
389-ds-console,"389 Directory Server Management Console",http://directory.fedoraproject.org,License:GPLv2,
389-dsgw,"389 Directory Server Gateway",http://directory.fedoraproject.org,"Other,License:GPLv2",
"3D Pong","A vector-based ball-bouncing game for X-Window",http://www.newbreedsoftware.com/3dpong/,License:GPLv2,
3dFB,"3D file manager and browser",https://sourceforge.net/projects/dz3d/,License:GPLv2,
3dldf,"Three-dimensional drawing with MetaPost output.",https://www.gnu.org/software/3dldf/,"License:SimplePermissiveNoNonWarranty,License:SimplePermissiveNonWarranty,License:GFDL,Other,License:GPLv2orlater with exception,License:GPLv2orlater,License:GPLv3orlater,License:GPLv3orlater with exception","[[File:Heckert_gnu.small.png|30px]],"
"3dpl GE","The 3D Programming Language",http://amigojapan.github.io/3dpl/,"License:GPLv3 with exception",
4Pane,"A dual twin-pane Linux filemanager",https://www.4pane.co.uk/,License:GPLv3,
4digits,"guess-the-number game, aka Bulls and Cows",http://sourceforge.net/projects/fourdigits/,License:GPLv2orlater,
4store,"RDF database storage and query engine -- database daemon",https://github.com/garlik/4store,"PublicDomain,Zlib,Other,License:GPLv2orlater with exception,License:GPLv3orlater",
4tH,"Forth compiler with a conventional compiler instead of the standard Forth engine",http://www.xs4all.nl/~thebeez/4tH/foldtree.html,License:GPLv3orlater,
6tunnel,"TCP proxy for non-IPv6 applications",http://toxygen.net/6tunnel,License:GPLv2orlater,
7kaa,"Seven Kingdoms Ancient Adversaries: real-time strategy game",http://www.7kfans.com/,License:GPLv2orlater,
7kaa-data,"Seven Kingdoms Ancient Adversaries - game data",http://www.enlight.com/7k/,License:GPLv2orlater,
7zip,"File archiver with a high compression ratio",https://www.7-zip.org/,,
8sync,"Asynchronous programming for Guile.",https://www.gnu.org/software/8sync/,"License:SimplePermissiveNoNonWarranty,License:SimplePermissiveNonWarranty,Other,License:Expat,License:GPLv3orlater,License:LGPLv3orlater,License:Creative Commons Attribution 3.0,License:GFDLv1.3orlater","[[File:Heckert_gnu.small.png|30px]],"
9menu,"Creates X menus from the shell",https://tracker.debian.org/pkg/9menu,"Other,License:GPLv3orlater",
9mount,"Tools for mounting 9p filesystems on the Linux kernel",http://sqweek.net/code/9mount/,License:ISC,
"A Bingo","A/Bingo plugin for Rails.",http://github.com/ryanb/abingo,License:Expat,
A+,"Programming language (APL interpreter)",http://www.aplusdev.org/,License:GPLv2,
A2K,"Small unobtrusive IRC bot",http://accutron2000.sourceforge.net/,License:GPLv2orlater,
A2b,"An abstract train game.",https://github.com/marcosmendez/a2b,License:GPLv2,
A2png,"Converts plain text into PNG images.",https://sourceforge.net/projects/a2png/,License:GPLv2orlater,
A2ps,"Any to PostScript filter.",https://www.gnu.org/software/a2ps/,"License:SimplePermissiveNonWarranty,Other,License:GPLv2orlater,License:GPLv3orlater,License:GPLv3orlater with exception","[[File:Heckert_gnu.small.png|30px]],"
AAK-Cont,"Anti-Adblock Killer Continued",https://xuhaiyang1234.gitlab.io/AAK-Cont/,License:GPLv3,
AB-Transfers,"simple online banking application for online money transfers",http://schmufu.dyndns.org/dokuwiki/ab_transfer:start,"Other,License:GPLv2orlater,License:LGPLv3",
ABC,"ABC - A System for Sequential Synthesis and Verification",http://www.eecs.berkeley.edu/~alanmi/abc/,"Other,License:GPLv2orlater",
"ABI Dumper","tool to dump ABI of an ELF object containing DWARF debug info",https://abi-laboratory.pro/,License:GPLv2,
"ABI compliance checker","tool to compare ABI compatibility of shared C/C++ library versions",https://abi-laboratory.pro/,License:GPLv3orlater,
ABINIT,"package for electronic structure calculations",http://www.abinit.org/,Other,
"ABX Tester","audio ABX testing software",http://phintsan.kapsi.fi/abx.html,License:GPLv3orlater,
ABYSS,"Automates some streaming operations and provides feedback for volunteers",https://vcs.fsf.org/?p=libre-streamer.git&a=summary,License:GPLv3orlater,
ABridge,"Online bridge game",https://github.com/pld-linux/abridge,License:GPLv2orlater,
ACDK,"Java-like C++ framework with scripting and distributed components",http://acdk.sourceforge.net,License:LGPL,
"ACE UC Sniffer","A simple VoIP corporate directory enumeration tool",http://ucsniff.sourceforge.net/ace.html,License:GPLv3orlater,
ACL2,"Programming language for modelling computer systems and proving properties of those models",http://www.cs.utexas.edu/users/moore/acl2/,,
ACal,"Simple Web-based calendar",http://acalproj.sourceforge.net/,License:GPLv2,
AClock,"Analog dockapp clock for GNUstep",http://gap.nongnu.org/aclock/,License:GPLv2orlater,
ADG,"A library focused on automating the drawing of mechanical parts.",http://adg.entidi.com/,LGPLv2.1,
ADL,"Application Database Load balancing class for MySQL",https://github.com/adlproject/ADL,License:GPLv3orlater,
ADM,"Integrates the desktop and the Asterisk phone system",http://adm.hamnett.org/,License:GPLv2orlater,
ADOdb,"a database abstraction library for PHP.",http://adodb.sourceforge.net/,"License:BSD 3Clause,LGPLv2.1",
"ADOdb Lite","A small, fast replacement for ADODB.",http://adodblite.sourceforge.net/,"License:BSD 3Clause,LGPLv2.1",
"ADOdb for Python","a database abstraction library for Python.",http://phplens.com/lens/adodb/adodb-py-docs.htm,"License:BSD 3Clause",
ADX,"Minimalistic address book in your web browser",http://adx.elektronengehirn.net/,"License:BSD 3Clause",
"ADempiere BR","World Class ERP/CRM/SCM/BI System",http://web.archive.org/web/20160126150945/http://antigo.softwarepublico.gov.br/5cqualibr/avaliaspb/wiki/fichaADempiereBR,License:GPLv2,
AE-DIR,"Authorized Entities Directory -- The agile IAM for DevOps",https://www.ae-dir.com,Apache2.0,
AEIOU,"AEIOU (An Electronic IOU) is a web application for creating local commodity currencies based on electronic IOU tickets.",http://aeiou.sourceforge.net/,"License:BSD 2Clause,AGPLv3orlater",
AFD,"Automatically distribute files",http://www.dwd.de/AFD/,License:GPLv2,
AFFLIBv3,"Advanced Forensics Format Library (debug version)",https://github.com/sshock/AFFLIBv3,"License:ISC,Other,License:BSD 3Clause,License:GPLv3orlater,License:LGPLv3",
AFR,"X-Chat plugin",https://sourceforge.net/projects/afr/,License:GPLv2orlater,
